id,run_time,total_loss,sgns_loss,dirichlet_loss,pred_loss,div_loss,train_auc,test_auc,dataset.window_size,dataset.min_df,dataset.max_df,fcm.inductive,fcm.inductive_dropout,fcm.embed_dim,fcm.hidden_size,fcm.num_layers,fcm.nnegs,fcm.nconcepts,fcm.lam,fcm.rho,fcm.eta,fit.lr,fit.nepochs,fit.pred_only_epochs,fit.batch_size,fit.grad_clip
a5f72eae709db6b6cbfd5bb579a5e6b4,1083.3703011349999,-633.1388325173521,11.275018090505302,-166.99366723048357,191.1448149047694,-668.7331100011073,0.9167604198289618,0.6369319288390727,4,0.01,0.8,True,0.01,300,100,1,5,10,1,1000,1,0.01,100,0,16384,1024
a9b0694e27cd49507dc1faf4fbb19b6f,635.8412310480007,-590.6009218115817,10.899407156545427,-167.08386159034666,213.55317290345204,-648.0268443286723,0.8226514315754403,0.6007944003326843,4,0.06,0.8,True,0.01,300,100,1,5,10,1,1000,1,0.01,100,0,16384,1024
341681afb7ed14edf24f4599b8cef373,633.6915900030008,212.84928043965314,10.95029165664954,-66.31358300606058,384.9238088784777,-116.75845843921839,0.5160710902406749,0.513641394493004,4,0.06,0.8,True,0.01,300,100,2,5,5,1,1000,1,0.01,100,0,16384,1024
bc24dee9180bfffda1c02c1b8184ed52,1096.0328482180003,-83.68829745732192,11.141274036774512,-65.61898631369577,169.83557328840257,-199.7207973622469,0.9302192319205413,0.6321433306171026,4,0.01,0.8,True,0.01,300,100,1,5,5,1,1000,1,0.01,100,0,16384,1024
478f0b37f646cf7ff4fef24ce5b4db6e,854.183530491,130.92354778219675,11.028434546515015,-66.31442571734222,385.7888256763059,-199.6321338606102,0.5150289939177626,0.5107653854607812,4,0.03,0.8,True,0.01,300,100,2,5,5,1,1000,1,0.01,100,0,16384,1024
51964e244ee2ff1f6cd17eb8bc70fb47,879.8025997010009,-2820.543773683916,10.932450031755138,-373.64855330134907,143.61999624834542,-2601.793370151835,0.9485642391947897,0.6305829013921869,4,0.03,0.8,True,0.01,300,100,2,5,20,1,1000,1,0.01,100,0,16384,1024
5239a70a71599e14b80d7b5f27b12337,1116.008737278,-1497.6518205770985,11.104197361564701,-270.24338017126934,146.8219119061615,-1386.5231941081267,0.9661948968490679,0.647741361285032,4,0.01,0.9,True,0.01,300,100,2,5,15,1,1000,1,0.01,100,0,16384,1024
08be47c3fe15ab92630be93d18de6653,1106.5784122490004,-58.0904920495254,11.097708680575696,-65.83282301223998,174.93201742465723,-178.9016098534774,0.90315512408693,0.6231273014009966,4,0.01,0.9,True,0.01,300,100,2,5,5,1,1000,1,0.01,100,0,16384,1024
2a1d4f9c4ccac915f50ad650ee4e88af,1131.221986519,-2765.921463886955,11.081171768247259,-373.3294320646246,156.04991567199005,-2560.2770041708486,0.9558165089465827,0.6464668056305866,4,0.01,0.8,True,0.01,300,100,2,5,20,1,1000,1,0.01,100,0,16384,1024
2820c018efd5063678977b65819fe1c4,850.4492957300008,123.07973504470641,11.019164220127386,-66.31419953575713,377.9011877587044,-199.6342400852616,0.535943421886103,0.5251866706913518,4,0.03,0.9,True,0.01,300,100,2,5,5,1,1000,1,0.01,100,0,16384,1024
97775042561a4ec280e3c9f79c546a66,644.0283807410015,-15.648997424553587,10.926260943955475,-66.04305153976696,238.93314044456258,-199.65694256686183,0.7768000959777244,0.597430203881403,4,0.06,0.9,True,0.01,300,100,2,5,5,1,1000,1,0.01,100,0,16384,1024
ce91e3498b709ed403a10ce26c7ee9cf,653.0398452620011,-2821.42348030775,10.821452915514678,-373.0850727272941,121.65697461455831,-2581.030392520695,0.9760964930833388,0.6555989979742706,4,0.06,0.9,True,0.01,300,100,2,5,20,1,1000,1,0.01,100,0,16384,1024
5815e28e29edd8dc01f896fe34781863,653.0324069509988,-1375.7795163028543,10.812632558608216,-270.7839752893939,373.22520040683935,-1490.1432289999723,0.5417324625709219,0.5237814854975301,4,0.06,0.9,True,0.01,300,100,2,5,15,1,1000,1,0.01,100,0,16384,1024
c134a8a18e4453fbf6e4ebbf4f410180,1110.2625997520008,-687.6191098159965,11.10085087270089,-167.24977016123609,177.42072753760527,-710.1822891340872,0.9206811429080185,0.6324002713639754,4,0.01,0.8,True,0.01,300,100,2,5,10,1,1000,1,0.01,100,0,16384,1024
ba1b2baf7e98a1ee073f7efe300773ff,655.5669348820011,-1353.1897782981403,10.6999379992289,-270.6241056383958,313.6077355570152,-1407.4161575876672,0.6409985792497385,0.5617361680591128,4,0.06,0.9,True,0.01,300,100,1,5,15,1,1000,1,0.01,100,0,16384,1024
